exam_code,part_id,part_title,question_id,question_type,question_text,option_a,option_b,option_c,option_d,notes
GL-DT105,I,Giáo lý,1,single_choice,"Nội dung Thánh Kinh là gì?","Là chương trình và hành động cứu độ của Thiên Chúa được Chúa Giê-su thực hiện.","Là chương trình và hành động cứu độ của Thiên Chúa được Chúa Giê-su thực hiện, trải dài suốt lịch sử loài người.","Là chương trình và hành động cứu độ của Thiên Chúa được Chúa Giê-su thực hiện nhằm bày tỏ vinh quang của Thiên Chúa.","Cả A, B và C",""
GL-DT105,I,Giáo lý,2,single_choice,"Thiên Chúa đã ban cho nguyên tổ cuộc sống nào?","Cuộc sống ngập tràn hạnh phúc, được diễn tả qua hình ảnh Vườn Địa Đàng.","Cuộc sống ngập tràn hạnh phúc và được giao coi sóc muôn loài.","Cuộc sống được làm con Chúa và nhiều đặc ân khác.","Cả A, B và C",""
GL-DT105,I,Giáo lý,3,single_choice,"Thiên Chúa chọn gọi Mô-sê khi nào?","Khi dân Ít-ra-en làm nô lệ ở Ai Cập.","Khi ông chăn chiên cho bố vợ tại núi Khô-rếp.","Khi Thiên Chúa hiện ra trong bụi gai cháy.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,4,single_choice,"Ít-ra-en cam kết gì với Thiên Chúa?","Không bao giờ bỏ Chúa và làm dân của Ngài.","Giữ mọi điều Chúa truyền dạy dù phải hy sinh mạng sống.","Tôn thờ Thiên Chúa là Chúa duy nhất và giữ Luật Người truyền.","Cả A, B và C",""
GL-DT105,I,Giáo lý,5,single_choice,"Thiên Chúa sai sứ thần Gáp-ri-en đến loan tin gì cho Đức Maria?","Bà sẽ được gọi là Con Đấng Tối Cao.","Bà sẽ thụ thai, sinh con trai và đặt tên là Giê-su.","Bà sẽ thụ thai, sinh Con Đấng Tối Cao tên là Giê-su.","Cả A, B và C",""
GL-DT105,I,Giáo lý,6,single_choice,"Đời sống ẩn dật của Chúa Giê-su tại Na-da-rét dạy ta điều gì?","Yêu đời sống bình dị, lao động và chu toàn bổn phận.","Sống chậm lại, bình dị và đơn giản.","Mở lòng yêu thương mọi người.","Cả A, B và C",""
GL-DT105,I,Giáo lý,7,single_choice,"Mầu nhiệm Một Chúa Ba Ngôi dạy ta điều gì?","Có một Thiên Chúa nhưng Ba Ngôi.","Ba Ngôi là Cha, Con và Thánh Thần.","Thứ tự Ba Ngôi: Cha, Con, Thánh Thần.","Cả A, B và C",""
GL-DT105,I,Giáo lý,8,single_choice,"Điều răn thứ ba dạy ta sự gì?","Giữ ngày Chúa Nhật qua việc tham dự Thánh lễ.","Thánh hóa ngày Chúa Nhật.","Thánh hóa mọi hành vi trong ngày Chúa Nhật.","Cả A, B và C",""
GL-DT105,I,Giáo lý,9,single_choice,"Điều răn thứ bốn dạy ta những gì?","Hiếu thảo với cha mẹ trong lời nói và hành động.","Hiếu thảo khi các ngài còn sống và đã qua đời.","Cả A và B","Bổn phận cha mẹ đối với con cái",""
GL-DT105,I,Giáo lý,10,single_choice,"Tại sao ta phải quý trọng sự sống siêu nhiên?","Vì do Thiên Chúa ban cho.","Vì linh hồn quý hơn cả thế gian.","Vì không do tài năng con người tạo nên.","Cả A, B và C",""
GL-DT105,I,Giáo lý,11,single_choice,"Chúa Giê-su có thái độ nào đối với Luật cũ?","Lên án gay gắt những sai lầm của Luật cũ.","Kiện toàn và làm cho Luật cũ nên trọn hảo.","Tôn trọng, tuân giữ và dạy người khác tuân giữ.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,12,single_choice,"Chúa Giê-su thực hiện lời hứa ra sao?","Sau khi sống lại 40 ngày, Ngài sai Chúa Thánh Thần xuống.","Sai Chúa Thánh Thần làm các Tông đồ can đảm loan báo Tin Mừng.","Chúa Thánh Thần biến đổi các Tông đồ.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,13,single_choice,"Tại sao gọi Hội Thánh là mầu nhiệm?","Vì Hội Thánh khó hiểu.","Vì Hội Thánh có sức sống thiêng liêng vô hình.","Vì Hội Thánh có nguồn sống từ Ba Ngôi Thiên Chúa.","Cả B và C",""
GL-DT105,I,Giáo lý,14,single_choice,"Vì sao ta biết Hội Thánh là Công giáo?","Vì dành cho mọi người.","Vì ai cũng có thể gia nhập tùy ý.","Vì không phân biệt thời đại, giới tính, chủng tộc.","Vì Hội Thánh đón nhận mọi người thiện tâm.",""
GL-DT105,I,Giáo lý,15,single_choice,"Chức vụ Vương giả là gì?","Phục vụ nhân danh Đức Ki-tô.","Chức vụ lãnh đạo cộng đoàn.","Lãnh đạo để phục vụ theo ý Chúa.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,16,single_choice,"Năm Phụng vụ là gì?","365 ngày mừng các lễ.","Một năm bắt đầu từ Chúa Nhật I Mùa Vọng.","365 ngày bắt đầu từ Chúa Nhật I Mùa Vọng.","Cả A, B và C",""
GL-DT105,I,Giáo lý,17,single_choice,"Bí tích Rửa tội có cần thiết không?","Không vào Nước Trời nếu không sinh bởi nước và Thánh Thần.","Là cửa ngõ vào Hội Thánh.","Vừa là cửa ngõ vừa theo lời Chúa dạy.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,18,single_choice,"Bí tích Thánh Thể là gì?","Bánh rượu trở nên Mình Máu Chúa.","Ban ơn Chúa Thánh Thần.","Vừa ban Thánh Thể vừa ban Thánh Thần.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,19,single_choice,"Phải tham dự Thánh lễ thế nào?","Tích cực, nghiêm trang, sốt sắng.","Hiệp lòng với cộng đoàn.","Tập trung, tránh phân tâm.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,20,single_choice,"Muốn lãnh nhận Bí tích Giải tội phải làm gì?","Xét mình, ăn năn, đền tội.","Ăn năn và quyết tâm chừa.","Xét mình, ăn năn, xưng tội, đền tội.","Xét mình, ăn năn, xưng tội, đền tội",""
GL-DT105,II,Lời Chúa,21,fill_blank,"Ngôi Lời đã làm người và ... chúng ta.","Sống cùng","Ở giữa","Nên giống","Cả A, B và C","Ga 1,14"
GL-DT105,II,Lời Chúa,22,fill_blank,"Hiện nay, Đức Tin, Đức Cậy, Đức Mến đều tồn tại, nhưng ... là Đức Mến.","Cao trọng hơn","Quan trọng hơn","Cần thiết hơn","Cả A, B và C","1Cr 13,13"
GL-DT105,III,Kinh nguyện,23,fill_blank,"Sáng danh Đức Chúa Cha... Như đã có trước ...","Muôn đời","Vô cùng","Lâu đời","Tất cả đều sai",""
GL-DT105,III,Kinh nguyện,24,fill_blank,"Bấy nhiêu điều ấy cùng các điều Hội Thánh dạy thì con ...","Xin vững vàng","Tin chắc rằng","Tin vững vàng","Tất cả đều đúng",""
GL-DT105,III,Kinh nguyện,25,fill_blank,"Lạy Chúa... mà cho Con Chúa ...","Xuống trần","Xuống đời","Ra đời","Tất cả đều đúng",""
GL-DT105,IV,Kinh Tin Kính,26,fill_blank,"Bởi phép ... mà Người xuống thai, sinh bởi Bà Maria đồng trinh","Đức Chúa Trời","Các Thánh Thiên Thần","Đức Chúa Thánh Thần","Tất cả đều đúng",""
GL-DT105,IV,Sáu Điều Răn,27,fill_blank,"Thứ hai: ... việc xác ngày Chúa Nhật cùng các ngày lễ buộc","Chớ làm","Cứ làm","Hãy làm","Tất cả đều đúng",""
GL-DT105,IV,Cải Tội Bảy Mối,28,fill_blank,"Thứ nhất: Khiêm nhường ...","Hãy kiêu ngạo","Cứ kiêu ngạo","Chớ kiêu ngạo","Tất cả đều sai",""
GL-DT105,IV,Tự luận,29,essay,"Giáo Hội Công Giáo cấm phá thai dưới mọi hình thức. Anh/chị hãy viết khoảng 200 chữ trình bày quan điểm của mình.",,,,"","Tự luận"
